ISO,year,country.name,region,Subscriptors.per100,GPDperCapita,years.with.network
NGA,2011,Nigeria,Sub-Saharan Africa,57.960663043185,2555.413,19
NOR,2011,Norway,Wester Europe,115.61690837971,52638.399,31
OMN,2011,Oman,Middle East and North Africa,168.97410356816,27856.602,27
PAK,2011,Pakistan,South Asia,61.610961405471,2936.865,22
PAN,2011,Panama,Central America,180.07810641016,13967.624,16
PNG,2011,Papua New Guinea,Australia and Oceania,34.21811395744,2549.017,16
PRY,2011,Paraguay,South America,99.329935340982,6129.46,20
PER,2011,Peru,South America,109.61181449046,9950.245,22
PHL,2011,Philippines,East Asia,99.091414232607,4098.272,21
POL,2011,Poland,Eastern Europe,130.970231063,19843.232,20
PRT,2011,Portugal,Wester Europe,116.39013783177,23311.225,23
QAT,2011,Qatar,Middle East and North Africa,120.47844421116,100374.334,22
ROU,2011,Romania,Eastern Europe,109.25293523965,12390.19,19
RUS,2011,Russian Federation,Former Soviet Republics,178.55541041828,16537.29,21
RWA,2011,Rwanda,Sub-Saharan Africa,40.630670888563,1369.448,14
KNA,2011,Saint Kitts and Nevis,Caribbean,154.80168394027,15590.893,16
LCA,2011,Saint Lucia,Caribbean,122.99765967599,12840.805,18
VCT,2011,Saint Vincent and the Grenadines,Caribbean,120.53092166025,11420.455,20
STP,2011,Sao Tome and Principe,Sub-Saharan Africa,68.26127719165,2252.416,10
SAU,2011,Saudi Arabia,Middle East and North Africa,191.24269417073,29113.609,22
SEN,2011,Senegal,Sub-Saharan Africa,70.160171939481,1866.282,18
SRB,2011,Serbia,Eastern Europe,130.24833601795,10761.239,8
SYC,2011,Seychelles,Sub-Saharan Africa,137.90346300069,24648.462,17
SLE,2011,Sierra Leone,Sub-Saharan Africa,35.631596305519,1159.686,12
SGP,2011,Singapore,East Asia,150.11604945357,61412.999,24
SVK,2011,Slovakia (Slovak Republic),Eastern Europe,109.34948027068,23262.198,21
SVN,2011,Slovenia,Eastern Europe,105.16966447328,28145.493,21
SLB,2011,Solomon Islands,Australia and Oceania,49.771577878092,3239.287,18
ZAF,2011,South Africa,Sub-Saharan Africa,126.83319045442,10725.026,23
KOR,2011,Korea,East Asia,107.74461018324,30911.158,26
ESP,2011,Spain,Wester Europe,113.06353939816,29666.927,26
LKA,2011,Sri Lanka,South Asia,87.54590803235,5617.472,22
SDN,2011,Sudan,Sub-Saharan Africa,56.138996853542,2674.845,16
SUR,2011,Suriname,South America,100.70994278552,11734.373,19
SWZ,2011,Swaziland,Sub-Saharan Africa,63.70156150017,5888.766,14
SWE,2011,Sweden,Wester Europe,121.2222926003,39539.98,31
